time, sat, X, Y, Z, Vx, Vy, Vz, clock, dclock
2024-01-07T00:15:00.000000000,G07,7546.001289,-18632.412379,-16630.626432,nan,nan,nan,-30.982357,6.94521807508645e-310
2024-01-07T00:15:00.000000000,G08,26233.788493,4997.452136,2052.932797,nan,nan,nan,-160.815824,6.9452173646643e-310
2024-01-07T00:15:00.000000000,G09,16063.864959,-9644.020407,-18934.644722,nan,nan,nan,50.658727,5.246901187694816e-111
2024-01-07T00:15:00.000000000,G10,-6312.652765,20612.180036,15492.071497,nan,nan,nan,-68.312681,6.94521769379346e-310
2024-01-07T00:15:00.000000000,G11,-11881.083256,-21221.825827,-10706.907742,nan,nan,nan,-530.304989,6.9452173629608e-310
2024-01-07T00:15:00.000000000,G12,-22037.905781,7225.010217,12597.278904,nan,nan,nan,-465.284124,1.3144860308831573e-94
2024-01-07T00:15:00.000000000,G13,-22093.64327,-13923.294485,-5646.983578,nan,nan,nan,613.316541,6.94524981447065e-310
2024-01-07T00:15:00.000000000,G14,10013.414594,-21249.791593,12240.348505,nan,nan,nan,291.720373,6.9452173644904e-310
2024-01-07T00:15:00.000000000,G15,-26506.039696,-2423.709254,1252.64423,nan,nan,nan,114.619357,-4.1341354763220744e-215
2024-01-07T00:15:00.000000000,G16,12804.176649,9102.497479,-21790.909136,nan,nan,nan,-389.321687,6.9452173650177e-310
2024-01-07T00:15:00.000000000,G17,2328.676357,-15176.182287,22093.385998,nan,nan,nan,720.461392,6.94521736450227e-310
2024-01-07T00:15:00.000000000,G18,-6699.926791,19783.732836,-16280.710244,nan,nan,nan,-525.786053,-4.8635813810050135e-281
2024-01-07T00:15:00.000000000,G19,-8221.249055,-17006.726801,18624.932705,nan,nan,nan,422.995589,6.94521770813164e-310
2024-01-07T00:15:00.000000000,G20,-8198.840099,-14116.069893,-20923.647772,nan,nan,nan,392.812222,6.9452173646841e-310
2024-01-07T00:15:00.000000000,G21,17223.432358,8600.927419,19185.411968,nan,nan,nan,139.21482,-6.670335078464238e-223
2024-01-07T00:15:00.000000000,G22,3886.149625,-19488.689703,18196.700091,nan,nan,nan,52.666866,6.9452173638754e-310
2024-01-07T00:15:00.000000000,G23,-16006.98793,20641.484647,4236.438825,nan,nan,nan,130.370737,6.945217364692e-310
2024-01-07T00:15:00.000000000,G24,-17024.398894,-4593.776077,19567.999079,nan,nan,nan,-408.887411,2.388639654118352e-130
