system_time,count,delta_v_x,delta_v_y, delta_v_z, delta_th_x, delta_th_y, delta_th_z
2023-04-07 03:04:58.009697,22508,0.0003452,0.0006590,-0.0783872,0.0001212,-0.0003031,0.0000606
2023-04-07 03:04:58.017742,22516,0.0002824,0.0005648,-0.0784500,0.0001212,-0.0003637,-0.0000606
2023-04-07 03:04:58.025841,22524,0.0003452,0.0005962,-0.0783245,0.0000000,-0.0001818,0.0001212
2023-04-07 03:04:58.033696,22532,0.0002824,0.0005962,-0.0785128,0.0000000,-0.0001818,0.0000606
2023-04-07 03:04:58.041693,22540,0.0002197,0.0006276,-0.0783245,0.0001212,-0.0000606,0.0000000
2023-04-07 03:04:58.049691,22548,0.0002510,0.0006276,-0.0784500,0.0000000,-0.0001818,0.0000606
2023-04-07 03:04:58.057684,22556,0.0003138,0.0005962,-0.0784186,0.0000000,-0.0000606,0.0000000
2023-04-07 03:04:58.065646,22564,0.0003138,0.0006276,-0.0783872,0.0000606,0.0000606,0.0000606
2023-04-07 03:04:58.073667,22572,0.0003766,0.0006276,-0.0783559,0.0000606,0.0000000,-0.0000606
2023-04-07 03:04:58.081698,22580,0.0002824,0.0005962,-0.0784500,0.0000000,0.0000606,-0.0001212
2023-04-07 03:04:58.089704,22588,0.0002824,0.0005962,-0.0784186,0.0000000,0.0000606,0.0000000
2023-04-07 03:04:58.097550,22596,0.0002510,0.0005335,-0.0784500,0.0001212,0.0001212,-0.0000606
2023-04-07 03:04:58.105727,22604,0.0003138,0.0005335,-0.0783872,0.0000000,0.0002424,-0.0001212
2023-04-07 03:04:58.113692,22612,0.0003766,0.0004393,-0.0784500,0.0000606,0.0002424,-0.0000606
2023-04-07 03:04:58.121755,22620,0.0004079,0.0003766,-0.0783559,-0.0000606,0.0003031,0.0000000
2023-04-07 03:04:58.129701,22628,0.0005335,0.0003766,-0.0784500,0.0000000,0.0001212,-0.0000606
2023-04-07 03:04:58.137702,22636,0.0006276,0.0003138,-0.0784186,0.0001212,0.0002424,0.0000000
2023-04-07 03:04:58.145616,22644,0.0005335,0.0003766,-0.0785128,0.0000606,0.0000606,0.0000606
2023-04-07 03:04:58.153657,22652,0.0005962,0.0004079,-0.0785128,0.0000606,-0.0000606,-0.0002424
2023-04-07 03:04:58.161835,22660,0.0005648,0.0005648,-0.0784814,-0.0000606,-0.0001818,-0.0000606
2023-04-07 03:04:58.169941,22668,0.0005648,0.0006276,-0.0785441,-0.0000606,-0.0001818,0.0000000
2023-04-07 03:04:58.177800,22676,0.0005021,0.0007217,-0.0783872,-0.0000606,-0.0002424,-0.0000606
2023-04-07 03:04:58.185920,22684,0.0004707,0.0007845,-0.0784814,0.0000606,-0.0002424,0.0000000
2023-04-07 03:04:58.193781,22692,0.0004393,0.0007217,-0.0784186,-0.0001212,-0.0003031,-0.0001212
2023-04-07 03:04:58.201918,22700,0.0004393,0.0006904,-0.0785128,0.0000000,-0.0002424,-0.0000606
2023-04-07 03:04:58.209809,22708,0.0004079,0.0006904,-0.0784186,0.0000000,-0.0003637,-0.0000606
2023-04-07 03:04:58.217786,22716,0.0003138,0.0006590,-0.0784500,0.0000000,-0.0003637,-0.0000606
2023-04-07 03:04:58.225778,22724,0.0002824,0.0005962,-0.0783559,0.0001212,-0.0001818,0.0001212
2023-04-07 03:04:58.233750,22732,0.0002197,0.0005335,-0.0784500,0.0001212,-0.0001818,0.0000606
2023-04-07 03:04:58.241749,22740,0.0002824,0.0004707,-0.0783872,0.0000606,-0.0001212,0.0000000
2023-04-07 03:04:58.249703,22748,0.0002510,0.0004707,-0.0784500,0.0000000,-0.0000606,0.0000000
2023-04-07 03:04:58.257625,22756,0.0002510,0.0004079,-0.0784500,0.0000606,0.0000000,-0.0000606
2023-04-07 03:04:58.265666,22764,0.0002824,0.0004393,-0.0783559,0.0000000,0.0000000,0.0000000
2023-04-07 03:04:58.273526,22772,0.0002824,0.0004079,-0.0784500,0.0000000,0.0003031,-0.0000606
2023-04-07 03:04:58.281660,22780,0.0003452,0.0004079,-0.0783559,-0.0001212,0.0001818,-0.0001212
2023-04-07 03:04:58.289826,22788,0.0004079,0.0004707,-0.0784186,0.0000000,0.0002424,-0.0001818
2023-04-07 03:04:58.297709,22796,0.0005021,0.0005021,-0.0784500,0.0000606,0.0001818,-0.0001212
2023-04-07 03:04:58.305732,22804,0.0004079,0.0005335,-0.0784814,-0.0000606,0.0002424,-0.0001212
2023-04-07 03:04:58.313835,22812,0.0004393,0.0006590,-0.0784186,-0.0000606,0.0002424,-0.0001818
2023-04-07 03:04:58.321849,22820,0.0004393,0.0006904,-0.0784186,0.0000000,0.0001212,-0.0000606
2023-04-07 03:04:58.329696,22828,0.0004079,0.0006590,-0.0783872,0.0000606,0.0001212,-0.0001212
2023-04-07 03:04:58.337728,22836,0.0004707,0.0006276,-0.0784186,0.0000606,0.0001212,-0.0001818
2023-04-07 03:04:58.345746,22844,0.0005962,0.0006590,-0.0784500,0.0000606,0.0001212,0.0000606
2023-04-07 03:04:58.353675,22852,0.0005648,0.0006276,-0.0785441,0.0001818,-0.0001212,-0.0001212
2023-04-07 03:04:58.361827,22860,0.0005962,0.0006590,-0.0785128,0.0000000,0.0000000,0.0000000
2023-04-07 03:04:58.369518,22868,0.0005335,0.0005962,-0.0785755,0.0000000,-0.0001212,0.0001212
2023-04-07 03:04:58.377671,22876,0.0005335,0.0006276,-0.0783872,0.0000606,-0.0002424,0.0001212
2023-04-07 03:04:58.385737,22884,0.0004393,0.0005962,-0.0784186,-0.0000606,-0.0002424,-0.0000606
2023-04-07 03:04:58.393921,22892,0.0004079,0.0005335,-0.0784186,0.0000000,-0.0003031,0.0000000
2023-04-07 03:04:58.401658,22900,0.0003766,0.0004707,-0.0784186,0.0000606,-0.0003031,-0.0001212
2023-04-07 03:04:58.409839,22908,0.0003766,0.0004393,-0.0785128,0.0000606,-0.0003637,0.0000606
2023-04-07 03:04:58.417763,22916,0.0004393,0.0004393,-0.0784500,0.0000000,-0.0003031,-0.0000606
2023-04-07 03:04:58.425767,22924,0.0003452,0.0004707,-0.0784814,-0.0000606,-0.0002424,-0.0000606
2023-04-07 03:04:58.433944,22932,0.0002510,0.0004707,-0.0783245,0.0000606,-0.0001818,-0.0001212
2023-04-07 03:04:58.441853,22940,0.0002824,0.0004707,-0.0783872,0.0000606,-0.0000606,0.0000000
2023-04-07 03:04:58.449718,22948,0.0002510,0.0005335,-0.0782931,-0.0000606,-0.0000606,0.0000000
2023-04-07 03:04:58.457772,22956,0.0002197,0.0005021,-0.0784814,-0.0000606,-0.0001212,0.0000000
2023-04-07 03:04:58.465795,22964,0.0002824,0.0005021,-0.0784814,-0.0000606,-0.0000606,0.0000000
2023-04-07 03:04:58.473789,22972,0.0003766,0.0005648,-0.0785755,0.0001818,0.0001212,0.0000000
2023-04-07 03:04:58.481607,22980,0.0004079,0.0005962,-0.0784500,-0.0001212,0.0001818,-0.0001212
2023-04-07 03:04:58.489826,22988,0.0003138,0.0006590,-0.0784186,0.0000000,0.0001818,-0.0000606
2023-04-07 03:04:58.497690,22996,0.0003766,0.0007531,-0.0784186,0.0000000,0.0002424,-0.0000606
2023-04-07 03:04:58.505706,23004,0.0004393,0.0006276,-0.0784814,0.0001212,0.0001818,-0.0001818
2023-04-07 03:04:58.513758,23012,0.0004079,0.0006276,-0.0785441,0.0000000,0.0001212,-0.0001212
2023-04-07 03:04:58.521703,23020,0.0004707,0.0005962,-0.0784500,0.0000606,0.0000000,0.0000000
2023-04-07 03:04:58.529570,23028,0.0005021,0.0005648,-0.0783559,0.0000000,0.0000606,0.0000606
2023-04-07 03:04:58.537591,23036,0.0004707,0.0006276,-0.0784500,0.0001212,0.0000000,-0.0001212
2023-04-07 03:04:58.545678,23044,0.0004707,0.0005021,-0.0784814,0.0001818,-0.0001212,0.0000000
2023-04-07 03:04:58.553683,23052,0.0004707,0.0005648,-0.0784186,0.0000606,0.0001212,0.0000000
2023-04-07 03:04:58.561605,23060,0.0005335,0.0004707,-0.0785128,0.0001212,-0.0000606,-0.0000606
2023-04-07 03:04:58.569834,23068,0.0005335,0.0004707,-0.0785128,0.0000000,-0.0001818,0.0000606
2023-04-07 03:04:58.577724,23076,0.0005021,0.0005335,-0.0785755,0.0001818,-0.0002424,0.0000000
2023-04-07 03:04:58.585683,23084,0.0004707,0.0004707,-0.0784500,-0.0001212,-0.0002424,0.0000606
2023-04-07 03:04:58.593829,23092,0.0004079,0.0004707,-0.0784500,0.0000000,-0.0001818,0.0000000
2023-04-07 03:04:58.601665,23100,0.0003766,0.0005021,-0.0782617,-0.0001212,-0.0003031,-0.0001212
2023-04-07 03:04:58.609992,23108,0.0004079,0.0005962,-0.0784186,0.0000606,-0.0003637,-0.0000606
2023-04-07 03:04:58.617859,23116,0.0003452,0.0005962,-0.0783559,0.0000606,-0.0002424,-0.0000606
2023-04-07 03:04:58.625862,23124,0.0002824,0.0005335,-0.0785128,0.0000000,-0.0001818,0.0000000
2023-04-07 03:04:58.633696,23132,0.0002824,0.0005648,-0.0783559,0.0000000,-0.0000606,0.0000000
2023-04-07 03:04:58.641665,23140,0.0001883,0.0005335,-0.0783872,0.0000000,0.0000606,-0.0000606
2023-04-07 03:04:58.649688,23148,0.0002824,0.0005962,-0.0783559,0.0001212,-0.0000606,-0.0000606
2023-04-07 03:04:58.657850,23156,0.0002510,0.0006276,-0.0784814,0.0000606,0.0001818,-0.0000606
2023-04-07 03:04:58.665763,23164,0.0002824,0.0005962,-0.0783559,0.0000606,0.0000000,0.0000606
2023-04-07 03:04:58.673621,23172,0.0002824,0.0005962,-0.0785128,0.0001212,0.0001212,-0.0000606
2023-04-07 03:04:58.681733,23180,0.0003766,0.0006590,-0.0785128,0.0000000,0.0002424,-0.0001818
2023-04-07 03:04:58.689708,23188,0.0004393,0.0006590,-0.0784186,0.0000606,0.0001818,-0.0000606
2023-04-07 03:04:58.697750,23196,0.0005648,0.0006590,-0.0783559,0.0002424,0.0003637,0.0000000
2023-04-07 03:04:58.705651,23204,0.0004393,0.0005021,-0.0780107,0.0033335,0.0007273,0.0000000
2023-04-07 03:04:58.713575,23212,0.0006904,-0.0000941,-0.0794542,-0.0007879,-0.0004243,0.0003031
2023-04-07 03:04:58.721941,23220,0.0003452,0.0006904,-0.0781676,-0.0018183,0.0000606,-0.0000606
2023-04-07 03:04:58.729875,23228,0.0001883,0.0008159,-0.0783245,-0.0007273,-0.0002424,-0.0000606
2023-04-07 03:04:58.737950,23236,0.0004393,0.0007531,-0.0784186,-0.0008485,0.0003031,-0.0003637
2023-04-07 03:04:58.745869,23244,0.0007531,0.0005335,-0.0782303,0.0007273,-0.0000606,-0.0002424
2023-04-07 03:04:58.753838,23252,0.0006590,0.0004393,-0.0787324,-0.0001818,-0.0001818,-0.0001212
2023-04-07 03:04:58.761942,23260,0.0005648,0.0004079,-0.0784186,0.0001212,-0.0001212,0.0000606
2023-04-07 03:04:58.769768,23268,0.0004079,0.0004393,-0.0786697,0.0000000,-0.0001212,0.0000000
2023-04-07 03:04:58.777651,23276,0.0003766,0.0004079,-0.0782303,0.0000000,-0.0004243,0.0000000
2023-04-07 03:04:58.785638,23284,0.0004707,0.0005021,-0.0785128,0.0003031,-0.0001818,0.0001212
2023-04-07 03:04:58.793728,23292,0.0003452,0.0004393,-0.0785128,-0.0002424,-0.0003031,0.0002424
2023-04-07 03:04:58.801832,23300,0.0003766,0.0005335,-0.0784500,0.0001818,-0.0001818,0.0001212
2023-04-07 03:04:58.809790,23308,0.0002197,0.0005648,-0.0785128,0.0000606,-0.0002424,0.0000606
2023-04-07 03:04:58.817755,23316,0.0003138,0.0006276,-0.0782303,0.0000606,-0.0002424,-0.0000606
2023-04-07 03:04:58.825832,23324,0.0003138,0.0006904,-0.0783559,0.0000606,-0.0001212,-0.0000606
2023-04-07 03:04:58.833858,23332,0.0002824,0.0006590,-0.0784814,0.0001212,0.0000000,-0.0001818
2023-04-07 03:04:58.841711,23340,0.0003452,0.0006590,-0.0785128,-0.0000606,-0.0001212,-0.0000606
2023-04-07 03:04:58.849927,23348,0.0003766,0.0005962,-0.0783872,0.0000606,-0.0000606,0.0000000
2023-04-07 03:04:58.857726,23356,0.0003138,0.0005648,-0.0783559,0.0000000,-0.0000606,0.0000606
2023-04-07 03:04:58.865689,23364,0.0003138,0.0006276,-0.0784500,0.0000000,0.0000000,0.0000000
2023-04-07 03:04:58.873525,23372,0.0003138,0.0005648,-0.0783559,0.0000000,0.0001818,0.0000000
2023-04-07 03:04:58.881542,23380,0.0003452,0.0005648,-0.0784814,0.0000000,0.0001212,0.0000606
2023-04-07 03:04:58.889585,23388,0.0002824,0.0005335,-0.0784186,-0.0000606,0.0001818,-0.0000606
2023-04-07 03:04:58.897846,23396,0.0002197,0.0005021,-0.0785128,0.0001818,0.0001818,-0.0000606
2023-04-07 03:04:58.905774,23404,0.0004079,0.0004079,-0.0783559,0.0000000,0.0003031,-0.0001212
2023-04-07 03:04:58.913691,23412,0.0004393,0.0004393,-0.0785128,-0.0001212,0.0001818,-0.0001212
2023-04-07 03:04:58.921827,23420,0.0005962,0.0003452,-0.0784500,-0.0001212,0.0001818,-0.0001212
2023-04-07 03:04:58.929863,23428,0.0006276,0.0004707,-0.0786069,0.0002424,0.0001212,0.0001818
2023-04-07 03:04:58.937705,23436,0.0004707,0.0005335,-0.0784814,-0.0001212,-0.0000606,0.0001212
2023-04-07 03:04:58.945848,23444,0.0004079,0.0006276,-0.0783872,-0.0000606,0.0000000,0.0000000
