system_time,count,delta_v_x,delta_v_y, delta_v_z, delta_th_x, delta_th_y, delta_th_z
2023-01-30 17:45:07.027735,559,0.0004393,0.0006276,-0.0784500,0.0000606,0.0000000,0.0000606
2023-01-30 17:45:07.035818,567,0.0004393,0.0006590,-0.0784186,0.0000000,0.0000606,0.0000000
2023-01-30 17:45:07.043679,575,0.0004393,0.0005962,-0.0783872,0.0001212,-0.0000606,0.0000000
2023-01-30 17:45:07.051857,583,0.0005021,0.0004707,-0.0784500,0.0001212,0.0000000,-0.0000606
2023-01-30 17:45:07.059854,591,0.0004707,0.0002824,-0.0783872,0.0003637,0.0001818,-0.0000606
2023-01-30 17:45:07.067929,599,0.0004393,0.0002510,-0.0784500,0.0001212,0.0000000,-0.0000606
2023-01-30 17:45:07.075885,607,0.0005021,0.0001883,-0.0785441,0.0002424,0.0000000,-0.0001212
2023-01-30 17:45:07.083882,615,0.0005648,0.0003138,-0.0785128,0.0000606,0.0000000,0.0000606
2023-01-30 17:45:07.091822,623,0.0005335,0.0003766,-0.0784814,0.0000606,0.0000000,0.0000606
2023-01-30 17:45:07.099876,631,0.0005335,0.0005335,-0.0783872,0.0001212,0.0000000,0.0000000
2023-01-30 17:45:07.107804,639,0.0004393,0.0005648,-0.0784500,0.0000000,0.0000000,-0.0001212
2023-01-30 17:45:07.115728,647,0.0005335,0.0005648,-0.0785128,0.0001212,-0.0001818,0.0000000
2023-01-30 17:45:07.123855,655,0.0005648,0.0004393,-0.0785128,0.0000606,-0.0001212,0.0000000
2023-01-30 17:45:07.131869,663,0.0004707,0.0003452,-0.0784500,0.0000606,-0.0000606,0.0000606
2023-01-30 17:45:07.139845,671,0.0005021,0.0002824,-0.0785128,0.0000000,-0.0001212,0.0000606
2023-01-30 17:45:07.147774,679,0.0005021,0.0003138,-0.0784500,0.0000606,-0.0002424,0.0000000
2023-01-30 17:45:07.155814,687,0.0005021,0.0002824,-0.0784814,0.0000606,0.0000000,0.0000606
